,$,private,public,rpar,lpar,id,dot,semi,colon,let,float,integer,rcurbr,lcurbr,struct,return,write,read,while,else,then,if,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,inherits,and,div,mult,rsqbr,lsqbr,impl,arrow,func,not,floatlit,intlit,equal,or
AA, ,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon, ,AA → &epsilon, , ,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon, , ,AA → &epsilon,AA → &epsilon,AA → &epsilon, ,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon, ,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon,AA → &epsilon
A1,A1 → &epsilon, , , ,A1 → &epsilon,A1 → &epsilon, , , , , , , , , , , , , , , , ,A1 → &epsilon,A1 → &epsilon, , , , , , , , , , , , , , , , , ,A1 → &epsilon,A1 → &epsilon,A1 → &epsilon, , 
A2, , , ,A2 → &epsilon, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A3, , , ,A3 → &epsilon, , , ,A3 → &epsilon, , , , , , , , , , , , , , , , , ,A3 → &epsilon, , , , , , , , , , , , , , , , , , , , 
A4, , , ,A4 → &epsilon, , , ,A4 → &epsilon, , , , , , , , , , , , , , ,A4 → &epsilon,A4 → &epsilon, ,A4 → &epsilon,A4 → &epsilon,A4 → &epsilon,A4 → &epsilon,A4 → &epsilon,A4 → &epsilon,A4 → &epsilon, , , , ,A4 → &epsilon, , , , , , , , ,A4 → &epsilon
A5, , , , ,A5 → &epsilon,A5 → &epsilon, , , , , , , , , , , , , , , , ,A5 → &epsilon,A5 → &epsilon, , , , , , , , , , , , , , , , , ,A5 → &epsilon,A5 → &epsilon,A5 → &epsilon, , 
B1, , , , , , , , , , , , ,B1 → &epsilon, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B2, , , , , , , ,B2 → &epsilon, , , , ,B2 → &epsilon, , , , , , ,B2 → &epsilon, , , , , , , , , , , , , , , , , , , , , , , , , , 
B3, , , , , , , ,B3 → &epsilon, , , , , , , , , , , ,B3 → &epsilon, , , , , , , , , , , , , , , , , , , , , , , , , , 
B4, , , , , , , , , , , , ,B4 → &epsilon, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D1, , , , , ,D1 → &epsilon, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
